# Generated by tools/generate_similar_kanji_tsv.py
# Source: Kiku apps/docs/public/_kiku_db_main.tar
# Kiku commit: 68c4d00e8c2d8a61f8714c8c8075b1451ca3f77d
# Shape: KanjiInfoCompact[8] visuallySimilar
kanji_a	kanji_b	source
寿	看	kiku:wk-visually-similar
専	尊	kiku:wk-visually-similar
専	導	kiku:wk-visually-similar
射	謝	kiku:wk-visually-similar
将	浮	kiku:wk-visually-similar
尉	慰	kiku:wk-visually-similar
居	屈	kiku:wk-visually-similar
居	届	kiku:wk-visually-similar
居	戻	kiku:wk-visually-similar
居	房	kiku:wk-visually-similar
居	据	kiku:wk-visually-similar
居	掘	kiku:wk-visually-similar
居	握	kiku:wk-visually-similar
居	泥	kiku:wk-visually-similar
居	涙	kiku:wk-visually-similar
居	漏	kiku:wk-visually-similar
居	遅	kiku:wk-visually-similar
屈	届	kiku:wk-visually-similar
屈	戻	kiku:wk-visually-similar
屈	房	kiku:wk-visually-similar
屈	据	kiku:wk-visually-similar
屈	掘	kiku:wk-visually-similar
屈	握	kiku:wk-visually-similar
屈	泥	kiku:wk-visually-similar
屈	涙	kiku:wk-visually-similar
屈	漏	kiku:wk-visually-similar
屈	遅	kiku:wk-visually-similar
届	戻	kiku:wk-visually-similar
届	房	kiku:wk-visually-similar
届	据	kiku:wk-visually-similar
届	掘	kiku:wk-visually-similar
届	握	kiku:wk-visually-similar
届	泥	kiku:wk-visually-similar
届	涙	kiku:wk-visually-similar
届	漏	kiku:wk-visually-similar
届	遅	kiku:wk-visually-similar
屋	窒	kiku:wk-visually-similar
展	鹿	kiku:wk-visually-similar
属	層	kiku:wk-visually-similar
履	復	kiku:wk-visually-similar
履	覆	kiku:wk-visually-similar
岐	技	kiku:wk-visually-similar
岐	支	kiku:wk-visually-similar
岐	枚	kiku:wk-visually-similar
岐	枝	kiku:wk-visually-similar
岐	肢	kiku:wk-visually-similar
岐	鼓	kiku:wk-visually-similar
岩	岸	kiku:wk-visually-similar
岩	若	kiku:wk-visually-similar
岩	苦	kiku:wk-visually-similar
岳	浜	kiku:wk-visually-similar
岸	炭	kiku:wk-visually-similar
島	鳥	kiku:wk-visually-similar
崎	椅	kiku:wk-visually-similar
崎	綺	kiku:wk-visually-similar
崖	涯	kiku:wk-visually-similar
巣	果	kiku:wk-visually-similar
巣	菓	kiku:wk-visually-similar
左	石	kiku:wk-visually-similar
巨	臣	kiku:wk-visually-similar
差	着	kiku:wk-visually-similar
巻	拳	kiku:wk-visually-similar
巻	挙	kiku:wk-visually-similar
巻	港	kiku:wk-visually-similar
市	布	kiku:wk-visually-similar
布	怖	kiku:wk-visually-similar
帝	帯	kiku:wk-visually-similar
帥	師	kiku:wk-visually-similar
帥	肺	kiku:wk-visually-similar
師	肺	kiku:wk-visually-similar
席	度	kiku:wk-visually-similar
席	座	kiku:wk-visually-similar
席	庶	kiku:wk-visually-similar
席	革	kiku:wk-visually-similar
帯	滞	kiku:wk-visually-similar
帰	掃	kiku:wk-visually-similar
帳	張	kiku:wk-visually-similar
常	賞	kiku:wk-visually-similar
帽	幅	kiku:wk-visually-similar
幅	福	kiku:wk-visually-similar
幕	慕	kiku:wk-visually-similar
幕	暮	kiku:wk-visually-similar
幣	弊	kiku:wk-visually-similar
年	牛	kiku:wk-visually-similar
年	生	kiku:wk-visually-similar
幸	辛	kiku:wk-visually-similar
幻	幼	kiku:wk-visually-similar
幾	機	kiku:wk-visually-similar
庄	床	kiku:wk-visually-similar
床	麻	kiku:wk-visually-similar
底	抵	kiku:wk-visually-similar
底	紙	kiku:wk-visually-similar
底	邸	kiku:wk-visually-similar
府	符	kiku:wk-visually-similar
度	庶	kiku:wk-visually-similar
度	渡	kiku:wk-visually-similar
座	挫	kiku:wk-visually-similar
庫	痩	kiku:wk-visually-similar
康	庸	kiku:wk-visually-similar
康	逮	kiku:wk-visually-similar
庸	逮	kiku:wk-visually-similar
延	廷	kiku:wk-visually-similar
建	誕	kiku:wk-visually-similar
式	試	kiku:wk-visually-similar
弓	弔	kiku:wk-visually-similar
弓	弟	kiku:wk-visually-similar
弓	沸	kiku:wk-visually-similar
弓	第	kiku:wk-visually-similar
弔	弟	kiku:wk-visually-similar
弔	沸	kiku:wk-visually-similar
弔	第	kiku:wk-visually-similar
弟	沸	kiku:wk-visually-similar
弟	第	kiku:wk-visually-similar
弥	称	kiku:wk-visually-similar
弧	爪	kiku:wk-visually-similar
弧	狐	kiku:wk-visually-similar
弧	瓜	kiku:wk-visually-similar
彩	採	kiku:wk-visually-similar
彩	杉	kiku:wk-visually-similar
彰	影	kiku:wk-visually-similar
影	景	kiku:wk-visually-similar
役	投	kiku:wk-visually-similar
役	疫	kiku:wk-visually-similar
役	穀	kiku:wk-visually-similar
彼	披	kiku:wk-visually-similar
彼	波	kiku:wk-visually-similar
彼	疲	kiku:wk-visually-similar
彼	皮	kiku:wk-visually-similar
彼	破	kiku:wk-visually-similar
彼	被	kiku:wk-visually-similar
往	柱	kiku:wk-visually-similar
往	注	kiku:wk-visually-similar
往	王	kiku:wk-visually-similar
径	怪	kiku:wk-visually-similar
径	経	kiku:wk-visually-similar
径	軽	kiku:wk-visually-similar
待	得	kiku:wk-visually-similar
待	持	kiku:wk-visually-similar
待	時	kiku:wk-visually-similar
待	特	kiku:wk-visually-similar
待	詩	kiku:wk-visually-similar
律	津	kiku:wk-visually-similar
後	系	kiku:wk-visually-similar
徐	途	kiku:wk-visually-similar
徐	除	kiku:wk-visually-similar
徒	従	kiku:wk-visually-similar
徒	縦	kiku:wk-visually-similar
従	縦	kiku:wk-visually-similar
得	提	kiku:wk-visually-similar
得	是	kiku:wk-visually-similar
復	腹	kiku:wk-visually-similar
復	複	kiku:wk-visually-similar
復	覆	kiku:wk-visually-similar
循	盾	kiku:wk-visually-similar
微	徴	kiku:wk-visually-similar
微	懲	kiku:wk-visually-similar
徳	懐	kiku:wk-visually-similar
徳	聴	kiku:wk-visually-similar
徴	懲	kiku:wk-visually-similar
徹	撤	kiku:wk-visually-similar
志	恵	kiku:wk-visually-similar
忘	念	kiku:wk-visually-similar
快	欠	kiku:wk-visually-similar
快	次	kiku:wk-visually-similar
快	決	kiku:wk-visually-similar
念	捻	kiku:wk-visually-similar
怒	恐	kiku:wk-visually-similar
思	息	kiku:wk-visually-similar
急	息	kiku:wk-visually-similar
急	負	kiku:wk-visually-similar
急	魚	kiku:wk-visually-similar
性	情	kiku:wk-visually-similar
性	牲	kiku:wk-visually-similar
怪	経	kiku:wk-visually-similar
怪	軽	kiku:wk-visually-similar
恨	根	kiku:wk-visually-similar
恨	眠	kiku:wk-visually-similar
恨	眼	kiku:wk-visually-similar
恨	良	kiku:wk-visually-similar
恨	退	kiku:wk-visually-similar
恨	郎	kiku:wk-visually-similar
恨	限	kiku:wk-visually-similar
息	意	kiku:wk-visually-similar
恵	束	kiku:wk-visually-similar
恵	東	kiku:wk-visually-similar
悔	敏	kiku:wk-visually-similar
悔	梅	kiku:wk-visually-similar
悔	毎	kiku:wk-visually-similar
悔	海	kiku:wk-visually-similar
悦	税	kiku:wk-visually-similar
悦	脱	kiku:wk-visually-similar
悦	説	kiku:wk-visually-similar
悦	鋭	kiku:wk-visually-similar
悩	脳	kiku:wk-visually-similar
悲	斐	kiku:wk-visually-similar
悼	貞	kiku:wk-visually-similar
情	晴	kiku:wk-visually-similar
情	暗	kiku:wk-visually-similar
情	清	kiku:wk-visually-similar
情	精	kiku:wk-visually-similar
情	請	kiku:wk-visually-similar
情	靖	kiku:wk-visually-similar
情	静	kiku:wk-visually-similar
惑	想	kiku:wk-visually-similar
惑	感	kiku:wk-visually-similar
惜	措	kiku:wk-visually-similar
惨	珍	kiku:wk-visually-similar
惨	診	kiku:wk-visually-similar
想	感	kiku:wk-visually-similar
感	成	kiku:wk-visually-similar
感	減	kiku:wk-visually-similar
慈	滋	kiku:wk-visually-similar
慈	磁	kiku:wk-visually-similar
態	熊	kiku:wk-visually-similar
態	能	kiku:wk-visually-similar
慕	暮	kiku:wk-visually-similar
慢	漫	kiku:wk-visually-similar
慨	概	kiku:wk-visually-similar
慮	膚	kiku:wk-visually-similar
慮	虜	kiku:wk-visually-similar
慰	懇	kiku:wk-visually-similar
憎	贈	kiku:wk-visually-similar
憧	瞳	kiku:wk-visually-similar
憧	童	kiku:wk-visually-similar
懐	聴	kiku:wk-visually-similar
我	裁	kiku:wk-visually-similar
我	餓	kiku:wk-visually-similar
戒	械	kiku:wk-visually-similar
戚	歳	kiku:wk-visually-similar
戻	房	kiku:wk-visually-similar
戻	据	kiku:wk-visually-similar
戻	掘	kiku:wk-visually-similar
戻	握	kiku:wk-visually-similar
戻	泥	kiku:wk-visually-similar
戻	涙	kiku:wk-visually-similar
戻	漏	kiku:wk-visually-similar
戻	遅	kiku:wk-visually-similar
房	据	kiku:wk-visually-similar
房	掘	kiku:wk-visually-similar
房	握	kiku:wk-visually-similar
房	泥	kiku:wk-visually-similar
房	涙	kiku:wk-visually-similar
房	漏	kiku:wk-visually-similar
房	遅	kiku:wk-visually-similar
扉	雇	kiku:wk-visually-similar
手	毛	kiku:wk-visually-similar
打	灯	kiku:wk-visually-similar
払	私	kiku:wk-visually-similar
扱	級	kiku:wk-visually-similar
扶	抹	kiku:wk-visually-similar
技	投	kiku:wk-visually-similar
技	支	kiku:wk-visually-similar
技	枚	kiku:wk-visually-similar
技	枝	kiku:wk-visually-similar
技	肢	kiku:wk-visually-similar
技	鼓	kiku:wk-visually-similar
投	疫	kiku:wk-visually-similar
投	穀	kiku:wk-visually-similar
抗	航	kiku:wk-visually-similar
折	斬	kiku:wk-visually-similar
折	新	kiku:wk-visually-similar
折	析	kiku:wk-visually-similar
折	祈	kiku:wk-visually-similar
抜	拭	kiku:wk-visually-similar
択	沢	kiku:wk-visually-similar
択	訳	kiku:wk-visually-similar
択	駅	kiku:wk-visually-similar
披	波	kiku:wk-visually-similar
披	疲	kiku:wk-visually-similar
披	皮	kiku:wk-visually-similar
披	破	kiku:wk-visually-similar
披	被	kiku:wk-visually-similar
抱	泡	kiku:wk-visually-similar
抱	砲	kiku:wk-visually-similar
抱	胞	kiku:wk-visually-similar
抱	飽	kiku:wk-visually-similar
抵	紙	kiku:wk-visually-similar
抵	邸	kiku:wk-visually-similar
押	抽	kiku:wk-visually-similar
押	神	kiku:wk-visually-similar
押	紳	kiku:wk-visually-similar
抽	油	kiku:wk-visually-similar
抽	袖	kiku:wk-visually-similar
抽	軸	kiku:wk-visually-similar
担	胆	kiku:wk-visually-similar
担	迫	kiku:wk-visually-similar
拍	泊	kiku:wk-visually-similar
拍	舶	kiku:wk-visually-similar
拍	迫	kiku:wk-visually-similar
拐	招	kiku:wk-visually-similar
拐	昭	kiku:wk-visually-similar
拐	照	kiku:wk-visually-similar
拐	紹	kiku:wk-visually-similar
拒	距	kiku:wk-visually-similar
招	昭	kiku:wk-visually-similar
招	沼	kiku:wk-visually-similar
招	照	kiku:wk-visually-similar
招	紹	kiku:wk-visually-similar
括	活	kiku:wk-visually-similar
拳	挙	kiku:wk-visually-similar
拾	捨	kiku:wk-visually-similar
拾	給	kiku:wk-visually-similar
持	時	kiku:wk-visually-similar
持	特	kiku:wk-visually-similar
持	詩	kiku:wk-visually-similar
挑	桃	kiku:wk-visually-similar
挑	跳	kiku:wk-visually-similar
挑	逃	kiku:wk-visually-similar
挟	狭	kiku:wk-visually-similar
振	賑	kiku:wk-visually-similar
捉	提	kiku:wk-visually-similar
捕	浦	kiku:wk-visually-similar
捕	補	kiku:wk-visually-similar
据	掘	kiku:wk-visually-similar
据	握	kiku:wk-visually-similar
据	泥	kiku:wk-visually-similar
据	涙	kiku:wk-visually-similar
据	漏	kiku:wk-visually-similar
据	遅	kiku:wk-visually-similar
授	援	kiku:wk-visually-similar
掘	握	kiku:wk-visually-similar
掘	泥	kiku:wk-visually-similar
掘	涙	kiku:wk-visually-similar
掘	漏	kiku:wk-visually-similar
掘	遅	kiku:wk-visually-similar
掛	街	kiku:wk-visually-similar
掛	衝	kiku:wk-visually-similar
探	控	kiku:wk-visually-similar
探	深	kiku:wk-visually-similar
推	椎	kiku:wk-visually-similar
推	権	kiku:wk-visually-similar
推	確	kiku:wk-visually-similar
推	稚	kiku:wk-visually-similar
推	維	kiku:wk-visually-similar
推	誰	kiku:wk-visually-similar
推	進	kiku:wk-visually-similar
推	雄	kiku:wk-visually-similar
推	雅	kiku:wk-visually-similar
推	雑	kiku:wk-visually-similar
推	離	kiku:wk-visually-similar
推	難	kiku:wk-visually-similar
措	描	kiku:wk-visually-similar
掲	揚	kiku:wk-visually-similar
掲	渇	kiku:wk-visually-similar
描	猫	kiku:wk-visually-similar
描	苗	kiku:wk-visually-similar
提	撮	kiku:wk-visually-similar
提	是	kiku:wk-visually-similar
揚	渇	kiku:wk-visually-similar
揚	湯	kiku:wk-visually-similar
揚	腸	kiku:wk-visually-similar
揚	陽	kiku:wk-visually-similar
握	泥	kiku:wk-visually-similar
握	涙	kiku:wk-visually-similar
握	漏	kiku:wk-visually-similar
握	遅	kiku:wk-visually-similar
揮	軍	kiku:wk-visually-similar
援	暖	kiku:wk-visually-similar
援	緩	kiku:wk-visually-similar
搬	艇	kiku:wk-visually-similar
搾	昨	kiku:wk-visually-similar
搾	酢	kiku:wk-visually-similar
摘	滴	kiku:wk-visually-similar
摘	適	kiku:wk-visually-similar
摩	暦	kiku:wk-visually-similar
摩	磨	kiku:wk-visually-similar
摩	禁	kiku:wk-visually-similar
撃	繋	kiku:wk-visually-similar
操	燥	kiku:wk-visually-similar
操	繰	kiku:wk-visually-similar
擦	際	kiku:wk-visually-similar
支	枚	kiku:wk-visually-similar
支	枝	kiku:wk-visually-similar
支	肢	kiku:wk-visually-similar
支	鼓	kiku:wk-visually-similar
改	放	kiku:wk-visually-similar
改	敗	kiku:wk-visually-similar
攻	政	kiku:wk-visually-similar
放	敗	kiku:wk-visually-similar
放	施	kiku:wk-visually-similar
放	旅	kiku:wk-visually-similar
放	旋	kiku:wk-visually-similar
放	族	kiku:wk-visually-similar
放	紡	kiku:wk-visually-similar
放	肪	kiku:wk-visually-similar
放	訪	kiku:wk-visually-similar
放	防	kiku:wk-visually-similar
敏	梅	kiku:wk-visually-similar
敏	毎	kiku:wk-visually-similar
敏	海	kiku:wk-visually-similar
敗	枚	kiku:wk-visually-similar
教	数	kiku:wk-visually-similar
教	類	kiku:wk-visually-similar
散	致	kiku:wk-visually-similar
数	類	kiku:wk-visually-similar
敷	激	kiku:wk-visually-similar
斉	斎	kiku:wk-visually-similar
斐	輩	kiku:wk-visually-similar
料	材	kiku:wk-visually-similar
料	科	kiku:wk-visually-similar
斬	新	kiku:wk-visually-similar
斬	暫	kiku:wk-visually-similar
斬	析	kiku:wk-visually-similar
斬	祈	kiku:wk-visually-similar
新	析	kiku:wk-visually-similar
新	祈	kiku:wk-visually-similar
新	規	kiku:wk-visually-similar
新	視	kiku:wk-visually-similar
新	親	kiku:wk-visually-similar
施	旅	kiku:wk-visually-similar
施	旋	kiku:wk-visually-similar
施	族	kiku:wk-visually-similar
施	旗	kiku:wk-visually-similar
施	紡	kiku:wk-visually-similar
施	肪	kiku:wk-visually-similar
施	訪	kiku:wk-visually-similar
施	防	kiku:wk-visually-similar
旅	旋	kiku:wk-visually-similar
旅	族	kiku:wk-visually-similar
旅	紡	kiku:wk-visually-similar
旅	肪	kiku:wk-visually-similar
旅	訪	kiku:wk-visually-similar
旅	防	kiku:wk-visually-similar
旋	族	kiku:wk-visually-similar
旋	紡	kiku:wk-visually-similar
旋	肪	kiku:wk-visually-similar
旋	訪	kiku:wk-visually-similar
旋	防	kiku:wk-visually-similar
族	紡	kiku:wk-visually-similar
族	肪	kiku:wk-visually-similar
族	訪	kiku:wk-visually-similar
族	防	kiku:wk-visually-similar
旬	河	kiku:wk-visually-similar
旬	洞	kiku:wk-visually-similar
旬	苛	kiku:wk-visually-similar
旬	荷	kiku:wk-visually-similar
旬	詞	kiku:wk-visually-similar
旬	阿	kiku:wk-visually-similar
旬	飼	kiku:wk-visually-similar
昆	皆	kiku:wk-visually-similar
昔	音	kiku:wk-visually-similar
映	英	kiku:wk-visually-similar
昨	酢	kiku:wk-visually-similar
昭	沼	kiku:wk-visually-similar
昭	照	kiku:wk-visually-similar
昭	紹	kiku:wk-visually-similar
是	足	kiku:wk-visually-similar
時	特	kiku:wk-visually-similar
時	詩	kiku:wk-visually-similar
晴	暗	kiku:wk-visually-similar
晴	清	kiku:wk-visually-similar
晴	精	kiku:wk-visually-similar
晴	請	kiku:wk-visually-similar
晴	靖	kiku:wk-visually-similar
晴	静	kiku:wk-visually-similar
暁	睦	kiku:wk-visually-similar
暑	暮	kiku:wk-visually-similar
暑	署	kiku:wk-visually-similar
暖	緩	kiku:wk-visually-similar
暗	清	kiku:wk-visually-similar
暗	精	kiku:wk-visually-similar
暗	請	kiku:wk-visually-similar
暗	靖	kiku:wk-visually-similar
暗	静	kiku:wk-visually-similar
暦	歴	kiku:wk-visually-similar
暦	磨	kiku:wk-visually-similar
暫	誓	kiku:wk-visually-similar
暴	泰	kiku:wk-visually-similar
曜	躍	kiku:wk-visually-similar
更	硬	kiku:wk-visually-similar
替	潜	kiku:wk-visually-similar
替	賛	kiku:wk-visually-similar
有	直	kiku:wk-visually-similar
望	聖	kiku:wk-visually-similar
朝	胡	kiku:wk-visually-similar
期	棋	kiku:wk-visually-similar
期	欺	kiku:wk-visually-similar
未	末	kiku:wk-visually-similar
札	礼	kiku:wk-visually-similar
朱	株	kiku:wk-visually-similar
朱	牛	kiku:wk-visually-similar
朱	生	kiku:wk-visually-similar
朱	矢	kiku:wk-visually-similar
朴	赴	kiku:wk-visually-similar
机	肌	kiku:wk-visually-similar
机	飢	kiku:wk-visually-similar
材	村	kiku:wk-visually-similar
材	財	kiku:wk-visually-similar
村	竹	kiku:wk-visually-similar
束	東	kiku:wk-visually-similar
束	車	kiku:wk-visually-similar
条	案	kiku:wk-visually-similar
来	氷	kiku:wk-visually-similar
来	米	kiku:wk-visually-similar
東	車	kiku:wk-visually-similar
松	私	kiku:wk-visually-similar
松	訟	kiku:wk-visually-similar
板	版	kiku:wk-visually-similar
板	販	kiku:wk-visually-similar
板	返	kiku:wk-visually-similar
板	阪	kiku:wk-visually-similar
板	飯	kiku:wk-visually-similar
析	祈	kiku:wk-visually-similar
枚	枝	kiku:wk-visually-similar
枚	校	kiku:wk-visually-similar
枚	格	kiku:wk-visually-similar
枚	肢	kiku:wk-visually-similar
枚	鼓	kiku:wk-visually-similar
果	菓	kiku:wk-visually-similar
枝	肢	kiku:wk-visually-similar
枝	鼓	kiku:wk-visually-similar
枠	砕	kiku:wk-visually-similar
枠	粋	kiku:wk-visually-similar
枠	酔	kiku:wk-visually-similar
枢	欧	kiku:wk-visually-similar
枢	殴	kiku:wk-visually-similar
柱	注	kiku:wk-visually-similar
柱	王	kiku:wk-visually-similar
柳	郷	kiku:wk-visually-similar
校	絞	kiku:wk-visually-similar
校	較	kiku:wk-visually-similar
校	郊	kiku:wk-visually-similar
株	殊	kiku:wk-visually-similar
株	珠	kiku:wk-visually-similar
株	矢	kiku:wk-visually-similar
核	該	kiku:wk-visually-similar
根	眠	kiku:wk-visually-similar
根	眼	kiku:wk-visually-similar
根	良	kiku:wk-visually-similar
根	退	kiku:wk-visually-similar
根	郎	kiku:wk-visually-similar
根	限	kiku:wk-visually-similar
格	絡	kiku:wk-visually-similar
栽	裁	kiku:wk-visually-similar
栽	装	kiku:wk-visually-similar
栽	製	kiku:wk-visually-similar
栽	載	kiku:wk-visually-similar
桃	跳	kiku:wk-visually-similar
桃	逃	kiku:wk-visually-similar
桟	浅	kiku:wk-visually-similar
桟	践	kiku:wk-visually-similar
桟	銭	kiku:wk-visually-similar
梅	毎	kiku:wk-visually-similar
梅	海	kiku:wk-visually-similar
棋	欺	kiku:wk-visually-similar
棟	練	kiku:wk-visually-similar
棟	錬	kiku:wk-visually-similar
棟	陣	kiku:wk-visually-similar
棟	陳	kiku:wk-visually-similar
椅	綺	kiku:wk-visually-similar
植	殖	kiku:wk-visually-similar
植	直	kiku:wk-visually-similar
植	置	kiku:wk-visually-similar
椎	権	kiku:wk-visually-similar
椎	確	kiku:wk-visually-similar
椎	稚	kiku:wk-visually-similar
椎	維	kiku:wk-visually-similar
椎	誰	kiku:wk-visually-similar
椎	進	kiku:wk-visually-similar
椎	雄	kiku:wk-visually-similar
椎	雅	kiku:wk-visually-similar
椎	雑	kiku:wk-visually-similar
椎	離	kiku:wk-visually-similar
椎	難	kiku:wk-visually-similar
検	険	kiku:wk-visually-similar
検	験	kiku:wk-visually-similar
楓	颯	kiku:wk-visually-similar
業	美	kiku:wk-visually-similar
楽	薬	kiku:wk-visually-similar
構	横	kiku:wk-visually-similar
構	溝	kiku:wk-visually-similar
構	講	kiku:wk-visually-similar
構	購	kiku:wk-visually-similar
構	黄	kiku:wk-visually-similar
標	票	kiku:wk-visually-similar
模	漠	kiku:wk-visually-similar
模	漢	kiku:wk-visually-similar
模	膜	kiku:wk-visually-similar
権	確	kiku:wk-visually-similar
権	稚	kiku:wk-visually-similar
権	維	kiku:wk-visually-similar
権	誰	kiku:wk-visually-similar
権	進	kiku:wk-visually-similar
権	雄	kiku:wk-visually-similar
権	雅	kiku:wk-visually-similar
権	雑	kiku:wk-visually-similar
権	離	kiku:wk-visually-similar
権	難	kiku:wk-visually-similar
横	黄	kiku:wk-visually-similar
橋	矯	kiku:wk-visually-similar
欄	潤	kiku:wk-visually-similar
欠	次	kiku:wk-visually-similar
欠	決	kiku:wk-visually-similar
次	決	kiku:wk-visually-similar
欧	殴	kiku:wk-visually-similar
欺	軟	kiku:wk-visually-similar
歓	観	kiku:wk-visually-similar
止	正	kiku:wk-visually-similar
歩	走	kiku:wk-visually-similar
殊	珠	kiku:wk-visually-similar
残	浅	kiku:wk-visually-similar
殖	直	kiku:wk-visually-similar
殖	置	kiku:wk-visually-similar
殻	殿	kiku:wk-visually-similar
殻	穀	kiku:wk-visually-similar
殿	穀	kiku:wk-visually-similar
殿	顧	kiku:wk-visually-similar
母	苺	kiku:wk-visually-similar
毎	海	kiku:wk-visually-similar
氏	民	kiku:wk-visually-similar
水	氷	kiku:wk-visually-similar
水	永	kiku:wk-visually-similar
水	求	kiku:wk-visually-similar
水	泳	kiku:wk-visually-similar
水	球	kiku:wk-visually-similar
氷	永	kiku:wk-visually-similar
氷	求	kiku:wk-visually-similar
氷	泳	kiku:wk-visually-similar
氷	球	kiku:wk-visually-similar
氷	米	kiku:wk-visually-similar
永	求	kiku:wk-visually-similar
永	泳	kiku:wk-visually-similar
永	球	kiku:wk-visually-similar
永	詠	kiku:wk-visually-similar
求	球	kiku:wk-visually-similar
汗	肝	kiku:wk-visually-similar
沙	炒	kiku:wk-visually-similar
没	股	kiku:wk-visually-similar
没	設	kiku:wk-visually-similar
沢	況	kiku:wk-visually-similar
沢	訳	kiku:wk-visually-similar
沢	駅	kiku:wk-visually-similar
河	洞	kiku:wk-visually-similar
河	胴	kiku:wk-visually-similar
河	苛	kiku:wk-visually-similar
河	荷	kiku:wk-visually-similar
河	詞	kiku:wk-visually-similar
河	銅	kiku:wk-visually-similar
河	阿	kiku:wk-visually-similar
河	飼	kiku:wk-visually-similar
沸	第	kiku:wk-visually-similar
油	袖	kiku:wk-visually-similar
油	軸	kiku:wk-visually-similar
治	沿	kiku:wk-visually-similar
治	浴	kiku:wk-visually-similar
治	胎	kiku:wk-visually-similar
沼	照	kiku:wk-visually-similar
沼	紹	kiku:wk-visually-similar
沿	浴	kiku:wk-visually-similar
沿	溶	kiku:wk-visually-similar
沿	裕	kiku:wk-visually-similar
沿	谷	kiku:wk-visually-similar
沿	鉛	kiku:wk-visually-similar
泉	臭	kiku:wk-visually-similar
泊	舶	kiku:wk-visually-similar
泊	迫	kiku:wk-visually-similar
泌	秘	kiku:wk-visually-similar
泡	砲	kiku:wk-visually-similar
泡	胞	kiku:wk-visually-similar
泡	飽	kiku:wk-visually-similar
波	疲	kiku:wk-visually-similar
波	皮	kiku:wk-visually-similar
波	破	kiku:wk-visually-similar
波	被	kiku:wk-visually-similar
泥	涙	kiku:wk-visually-similar
泥	漏	kiku:wk-visually-similar
泥	遅	kiku:wk-visually-similar
注	王	kiku:wk-visually-similar
泳	詠	kiku:wk-visually-similar
洋	詳	kiku:wk-visually-similar
洞	胴	kiku:wk-visually-similar
洞	荷	kiku:wk-visually-similar
洞	詞	kiku:wk-visually-similar
洞	銅	kiku:wk-visually-similar
洞	阿	kiku:wk-visually-similar
洞	飼	kiku:wk-visually-similar
派	脈	kiku:wk-visually-similar
流	統	kiku:wk-visually-similar
浅	践	kiku:wk-visually-similar
浅	銭	kiku:wk-visually-similar
浦	補	kiku:wk-visually-similar
浴	溶	kiku:wk-visually-similar
浴	裕	kiku:wk-visually-similar
浴	谷	kiku:wk-visually-similar
浴	鉛	kiku:wk-visually-similar
涙	漏	kiku:wk-visually-similar
涙	遅	kiku:wk-visually-similar
清	漬	kiku:wk-visually-similar
清	積	kiku:wk-visually-similar
清	精	kiku:wk-visually-similar
清	請	kiku:wk-visually-similar
清	靖	kiku:wk-visually-similar
清	静	kiku:wk-visually-similar
減	滅	kiku:wk-visually-similar
渦	滑	kiku:wk-visually-similar
渦	禍	kiku:wk-visually-similar
渦	過	kiku:wk-visually-similar
渦	鍋	kiku:wk-visually-similar
湖	潮	kiku:wk-visually-similar
湖	瀬	kiku:wk-visually-similar
湯	腸	kiku:wk-visually-similar
湯	陽	kiku:wk-visually-similar
満	演	kiku:wk-visually-similar
準	隼	kiku:wk-visually-similar
準	集	kiku:wk-visually-similar
溝	講	kiku:wk-visually-similar
溝	購	kiku:wk-visually-similar
溶	裕	kiku:wk-visually-similar
溶	谷	kiku:wk-visually-similar
溶	鉛	kiku:wk-visually-similar
滋	磁	kiku:wk-visually-similar
滑	過	kiku:wk-visually-similar
滝	竜	kiku:wk-visually-similar
滴	適	kiku:wk-visually-similar
漏	濡	kiku:wk-visually-similar
漏	遅	kiku:wk-visually-similar
漠	漢	kiku:wk-visually-similar
漠	膜	kiku:wk-visually-similar
漢	膜	kiku:wk-visually-similar
潔	紫	kiku:wk-visually-similar
潔	緊	kiku:wk-visually-similar
潔	繁	kiku:wk-visually-similar
潔	繋	kiku:wk-visually-similar
潜	賛	kiku:wk-visually-similar
潮	瀬	kiku:wk-visually-similar
澄	登	kiku:wk-visually-similar
濡	需	kiku:wk-visually-similar
炊	炒	kiku:wk-visually-similar
炒	秒	kiku:wk-visually-similar
烈	然	kiku:wk-visually-similar
烏	馬	kiku:wk-visually-similar
烏	鳥	kiku:wk-visually-similar
無	焦	kiku:wk-visually-similar
焼	煙	kiku:wk-visually-similar
照	紹	kiku:wk-visually-similar
熊	能	kiku:wk-visually-similar
熟	熱	kiku:wk-visually-similar
燥	繰	kiku:wk-visually-similar
爪	狐	kiku:wk-visually-similar
爪	瓜	kiku:wk-visually-similar
版	販	kiku:wk-visually-similar
版	返	kiku:wk-visually-similar
版	阪	kiku:wk-visually-similar
版	飯	kiku:wk-visually-similar
牙	芽	kiku:wk-visually-similar
牛	生	kiku:wk-visually-similar
牛	矢	kiku:wk-visually-similar
物	特	kiku:wk-visually-similar
特	詩	kiku:wk-visually-similar
犠	義	kiku:wk-visually-similar
犠	議	kiku:wk-visually-similar
狐	瓜	kiku:wk-visually-similar
狙	相	kiku:wk-visually-similar
狙	祖	kiku:wk-visually-similar
狙	租	kiku:wk-visually-similar
狙	粗	kiku:wk-visually-similar
狙	組	kiku:wk-visually-similar
狙	阻	kiku:wk-visually-similar
猫	苗	kiku:wk-visually-similar
献	駄	kiku:wk-visually-similar
獲	穫	kiku:wk-visually-similar
獲	護	kiku:wk-visually-similar
