# Generated by tools/generate_similar_kanji_tsv.py
# Source: Kiku apps/docs/public/_kiku_db_main.tar
# Kiku commit: 68c4d00e8c2d8a61f8714c8c8075b1451ca3f77d
# Shape: KanjiInfoCompact[8] visuallySimilar
kanji_a	kanji_b	source
俗	溶	kiku:wk-visually-similar
俗	裕	kiku:wk-visually-similar
俗	谷	kiku:wk-visually-similar
俗	鉛	kiku:wk-visually-similar
保	程	kiku:wk-visually-similar
修	惨	kiku:wk-visually-similar
修	珍	kiku:wk-visually-similar
修	診	kiku:wk-visually-similar
俳	排	kiku:wk-visually-similar
俵	表	kiku:wk-visually-similar
俸	棒	kiku:wk-visually-similar
俺	滝	kiku:wk-visually-similar
倉	創	kiku:wk-visually-similar
倍	借	kiku:wk-visually-similar
倍	培	kiku:wk-visually-similar
候	喉	kiku:wk-visually-similar
借	惜	kiku:wk-visually-similar
借	措	kiku:wk-visually-similar
値	植	kiku:wk-visually-similar
値	殖	kiku:wk-visually-similar
値	直	kiku:wk-visually-similar
値	置	kiku:wk-visually-similar
倫	偏	kiku:wk-visually-similar
倹	検	kiku:wk-visually-similar
偉	違	kiku:wk-visually-similar
偏	編	kiku:wk-visually-similar
偏	雇	kiku:wk-visually-similar
停	寧	kiku:wk-visually-similar
健	建	kiku:wk-visually-similar
健	誕	kiku:wk-visually-similar
健	鍵	kiku:wk-visually-similar
側	列	kiku:wk-visually-similar
側	則	kiku:wk-visually-similar
側	測	kiku:wk-visually-similar
偶	遇	kiku:wk-visually-similar
偶	隅	kiku:wk-visually-similar
偽	為	kiku:wk-visually-similar
傘	卒	kiku:wk-visually-similar
傘	率	kiku:wk-visually-similar
債	償	kiku:wk-visually-similar
債	漬	kiku:wk-visually-similar
債	積	kiku:wk-visually-similar
債	績	kiku:wk-visually-similar
債	責	kiku:wk-visually-similar
働	動	kiku:wk-visually-similar
働	勧	kiku:wk-visually-similar
像	象	kiku:wk-visually-similar
僕	撲	kiku:wk-visually-similar
僚	寮	kiku:wk-visually-similar
僚	療	kiku:wk-visually-similar
僧	増	kiku:wk-visually-similar
僧	憎	kiku:wk-visually-similar
僧	贈	kiku:wk-visually-similar
儀	犠	kiku:wk-visually-similar
儀	義	kiku:wk-visually-similar
儀	議	kiku:wk-visually-similar
億	息	kiku:wk-visually-similar
億	意	kiku:wk-visually-similar
億	憶	kiku:wk-visually-similar
優	憂	kiku:wk-visually-similar
元	示	kiku:wk-visually-similar
先	去	kiku:wk-visually-similar
先	夫	kiku:wk-visually-similar
先	失	kiku:wk-visually-similar
先	朱	kiku:wk-visually-similar
先	生	kiku:wk-visually-similar
先	矢	kiku:wk-visually-similar
免	晩	kiku:wk-visually-similar
免	色	kiku:wk-visually-similar
免	角	kiku:wk-visually-similar
党	堂	kiku:wk-visually-similar
党	常	kiku:wk-visually-similar
党	覚	kiku:wk-visually-similar
党	賞	kiku:wk-visually-similar
全	金	kiku:wk-visually-similar
六	穴	kiku:wk-visually-similar
共	昔	kiku:wk-visually-similar
共	音	kiku:wk-visually-similar
兵	岳	kiku:wk-visually-similar
兵	浜	kiku:wk-visually-similar
具	真	kiku:wk-visually-similar
具	貝	kiku:wk-visually-similar
具	負	kiku:wk-visually-similar
具	頁	kiku:wk-visually-similar
典	曲	kiku:wk-visually-similar
冒	昌	kiku:wk-visually-similar
冒	胃	kiku:wk-visually-similar
冷	鈴	kiku:wk-visually-similar
冷	齢	kiku:wk-visually-similar
准	唯	kiku:wk-visually-similar
准	推	kiku:wk-visually-similar
准	椎	kiku:wk-visually-similar
准	権	kiku:wk-visually-similar
准	確	kiku:wk-visually-similar
准	稚	kiku:wk-visually-similar
准	維	kiku:wk-visually-similar
准	誰	kiku:wk-visually-similar
准	進	kiku:wk-visually-similar
准	雄	kiku:wk-visually-similar
准	雅	kiku:wk-visually-similar
准	雑	kiku:wk-visually-similar
准	離	kiku:wk-visually-similar
准	難	kiku:wk-visually-similar
凛	壇	kiku:wk-visually-similar
凝	擬	kiku:wk-visually-similar
凡	舟	kiku:wk-visually-similar
処	拠	kiku:wk-visually-similar
凶	区	kiku:wk-visually-similar
刀	刃	kiku:wk-visually-similar
刀	力	kiku:wk-visually-similar
刊	刑	kiku:wk-visually-similar
刊	汗	kiku:wk-visually-similar
刊	肝	kiku:wk-visually-similar
