Kanji,Rank
陀,2589
餃,2590
晃,2591
憔,2592
鋒,2593
逅,2594
楯,2595
臥,2596
勾,2597
蟲,2598
渓,2599
痍,2600
瞰,2601
蒙,2602
樫,2603
芹,2604
柊,2605
邂,2606
顛,2607
柑,2608
謡,2609
迦,2610
蟹,2611
攪,2612
蕾,2613
嬲,2614
錐,2615
梶,2616
橙,2617
袴,2618
吻,2619
菱,2620
僥,2621
燐,2622
擢,2623
詭,2624
戟,2625
碁,2626
糊,2627
楊,2628
勅,2629
搦,2630
敦,2631
憮,2632
彗,2633
扶,2634
沁,2635
啖,2636
瘴,2637
蝋,2638
燦,2639
蹲,2640
尼,2641
洲,2642
庸,2643
渚,2644
苺,2645
彙,2646
窘,2647
彿,2648
扮,2649
魁,2650
屹,2651
榴,2652
瘦,2653
肴,2654
鉤,2655
汎,2656
噪,2657
椀,2658
峡,2659
丞,2660
賽,2661
寅,2662
附,2663
蔦,2664
杜,2665
托,2666
朶,2667
焔,2668
箒,2669
繍,2670
梢,2671
倶,2672
鯨,2673
煤,2674
蠱,2675
粥,2676
賤,2677
碌,2678
匙,2679
鞠,2680
涛,2681
濫,2682
叙,2683
樋,2684
饅,2685
畔,2686
誹,2687
痣,2688
藉,2689
鑽,2690
驕,2691
棍,2692
琢,2693
肛,2694
腎,2695
湊,2696
菩,2697
襖,2698
窄,2699
臼,2700
縷,2701
瞠,2702
旭,2703
箔,2704
舷,2705
禿,2706
椒,2707
组,2708
襞,2709
栞,2710
汐,2711
鯛,2712
坪,2713
烙,2714
涜,2715
祉,2716
於,2717
瞞,2718
簾,2719
繭,2720
膿,2721
噺,2722
檎,2723
嵩,2724
憊,2725
慟,2726
鹸,2727
翡,2728
壱,2729
條,2730
哄,2731
鮭,2732
謐,2733
膂,2734
芦,2735
函,2736
脛,2737
荻,2738
茸,2739
誅,2740
筑,2741
盃,2742
泄,2743
腱,2744
朔,2745
坑,2746
升,2747
蕎,2748
硫,2749
餞,2750
楔,2751
賦,2752
蓑,2753
亘,2754
桟,2755
蹄,2756
且,2757
萬,2758
壌,2759
縞,2760
謗,2761
洛,2762
鴉,2763
矮,2764
芒,2765
佑,2766
茉,2767
葡,2768
篇,2769
捷,2770
牌,2771
毟,2772
邁,2773
靱,2774
萄,2775
丑,2776
諍,2777
叛,2778
于,2779
刎,2780
斯,2781
榎,2782
蔭,2783
瑚,2784
巌,2785
魄,2786
蜃,2787
蛾,2788
睥,2789
嚢,2790
吏,2791
磐,2792
澪,2793
时,2794
嚥,2795
聳,2796
爬,2797
诸,2798
晰,2799
媛,2800
裡,2801
稜,2802
蠅,2803
凰,2804
撰,2805
毀,2806
悉,2807
姜,2808
祷,2809
翁,2810
茅,2811
鮎,2812
詈,2813
尤,2814
扈,2815
黎,2816
葱,2817
礁,2818
琉,2819
慇,2820
侠,2821
懃,2822
舶,2823
呷,2824
鷺,2825
郁,2826
弐,2827
跋,2828
阜,2829
卯,2830
禽,2831
劉,2832
靖,2833
僻,2834
遼,2835
做,2836
國,2837
祠,2838
嘯,2839
贋,2840
斡,2841
齟,2842
蝉,2843
鱈,2844
蹟,2845
斃,2846
紆,2847
齬,2848
袂,2849
塡,2850
壬,2851
麟,2852
憬,2853
頁,2854
灸,2855
遵,2856
珊,2857
对,2858
晋,2859
湘,2860
嘗,2861
桔,2862
恫,2863
磔,2864
乖,2865
檀,2866
曳,2867
仅,2868
猜,2869
虔,2870
妓,2871
哺,2872
臀,2873
堺,2874
拵,2875
楕,2876
醇,2877
瑛,2878
窩,2879
嘴,2880
磋,2881
听,2882
琲,2883
悧,2884
涸,2885
撼,2886
蠟,2887
眞,2888
痢,2889
槻,2890
衷,2891
珈,2892
侘,2893
间,2894
壕,2895
窯,2896
廣,2897
氾,2898
娶,2899
渕,2900
檜,2901
瑕,2902
习,2903
孵,2904
译,2905
栃,2906
穹,2907
嗄,2908
鬨,2909
耀,2910
櫻,2911
蝠,2912
鄙,2913
鳶,2914
訶,2915
逗,2916
綜,2917
蝙,2918
穣,2919
你,2920
秦,2921
奸,2922
魎,2923
卍,2924
酩,2925
酊,2926
昴,2927
琵,2928
臍,2929
咬,2930
而,2931
罹,2932
什,2933
吃,2934
淘,2935
琶,2936
碍,2937
堆,2938
訛,2939
顚,2940
蜴,2941
撹,2942
壷,2943
梱,2944
弩,2945
闖,2946
閻,2947
鋏,2948
睾,2949
业,2950
语,2951
愴,2952
玖,2953
癌,2954
腋,2955
幀,2956
沽,2957
祇,2958
蜥,2959
鉈,2960
狛,2961
峻,2962
杓,2963
篝,2964
饗,2965
鋳,2966
葦,2967
裳,2968
啼,2969
帛,2970
已,2971
俸,2972
抓,2973
嗣,2974
諏,2975
靂,2976
夥,2977
魍,2978
霹,2979
拌,2980
厩,2981
焰,2982
繡,2983
樺,2984
梟,2985
漸,2986
埠,2987
餡,2988
欒,2989
鎚,2990
啄,2991
誑,2992
訥,2993
毘,2994
瘤,2995
帖,2996
櫓,2997
趨,2998
餉,2999
佃,3000
笥,3001
藹,3002
鍬,3003
眈,3004
蠕,3005
懊,3006
澹,3007
滸,3008
请,3009
罷,3010
綽,3011
檄,3012
赫,3013
刮,3014
滔,3015
叢,3016
偲,3017
簒,3018
髏,3019
箪,3020
艘,3021
髑,3022
峯,3023
魑,3024
筧,3025
畠,3026
錫,3027
捺,3028
轴,3029
麒,3030
莢,3031
倹,3032
寥,3033
毬,3034
鏑,3035
茄,3036
趙,3037
麿,3038
牝,3039
爾,3040
剌,3041
站,3042
吧,3043
攘,3044
蝦,3045
翅,3046
酪,3047
疵,3048
燼,3049
迄,3050
逼,3051
悄,3052
衾,3053
饉,3054
盪,3055
宋,3056
鯖,3057
誼,3058
囀,3059
嘱,3060
駈,3061
厠,3062
筐,3063
眇,3064
羹,3065
凧,3066
蓬,3067
櫂,3068
囓,3069
帷,3070
菫,3071
厘,3072
瀧,3073
紬,3074
竈,3075
卦,3076
漿,3077
魏,3078
婉,3079
槙,3080
膀,3081
瀟,3082
陪,3083
醬,3084
蠍,3085
卜,3086
鋲,3087
恣,3088
蒐,3089
衒,3090
撓,3091
鋸,3092
會,3093
諺,3094
瀉,3095
杵,3096
侭,3097
簀,3098
濱,3099
砥,3100
亥,3101
辜,3102
蚕,3103
諌,3104
稟,3105
鍾,3106
沃,3107
麵,3108
么,3109
竟,3110
廟,3111
疹,3112
蛆,3113
絃,3114
瀾,3115
荼,3116
愾,3117
蛸,3118
乎,3119
按,3120
忖,3121
鰻,3122
齎,3123
罅,3124
蛭,3125
压,3126
犀,3127
芙,3128
訃,3129
蝿,3130
懣,3131
稔,3132
胱,3133
啊,3134
畿,3135
𠮟,3136
墳,3137
諒,3138
駁,3139
轡,3140
曙,3141
禊,3142
佩,3143
漱,3144
皐,3145
獪,3146
鏃,3147
这,3148
頽,3149
侑,3150
冨,3151
胤,3152
憺,3153
瀆,3154
欢,3155
个,3156
嬪,3157
傅,3158
为,3159
扁,3160
覿,3161
戌,3162
剪,3163
吝,3164
眦,3165
幇,3166
吽,3167
拿,3168
截,3169
无,3170
頒,3171
喊,3172
鰹,3173
瀑,3174
愧,3175
簪,3176
噎,3177
灌,3178
燗,3179
黴,3180
芭,3181
誂,3182
桿,3183
痔,3184
俣,3185
韋,3186
紘,3187
朕,3188
洟,3189
鵠,3190
螢,3191
嘶,3192
麾,3193
怩,3194
躰,3195
灘,3196
硯,3197
忸,3198
鍼,3199
鴻,3200
劾,3201
縊,3202
您,3203
屏,3204
剋,3205
舜,3206
聊,3207
瓢,3208
墾,3209
廓,3210
鍮,3211
雉,3212
蠣,3213
縺,3214
漣,3215
焙,3216
臂,3217
勒,3218
奧,3219
禱,3220
撻,3221
呢,3222
銚,3223
很,3224
峨,3225
粕,3226
说,3227
怎,3228
荊,3229
溌,3230
现,3231
亞,3232
兇,3233
迭,3234
泪,3235
烹,3236
棗,3237
蛋,3238
柩,3239
毫,3240
洸,3241
惟,3242
葺,3243
们,3244
舳,3245
劈,3246
濘,3247
凭,3248
鵺,3249
嶽,3250
艱,3251
涅,3252
閨,3253
錨,3254
坤,3255
坩,3256
堝,3257
租,3258
开,3259
牒,3260
蟬,3261
閤,3262
还,3263
闢,3264
濾,3265
籐,3266
恃,3267
猊,3268
鰐,3269
菖,3270
槇,3271
瑣,3272
輌,3273
琳,3274
鸚,3275
棹,3276
匡,3277
麹,3278
繚,3279
擽,3280
鶯,3281
虱,3282
沱,3283
熔,3284
邏,3285
过,3286
來,3287
儒,3288
鵡,3289
样,3290
纂,3291
滂,3292
话,3293
躁,3294
耄,3295
寓,3296
蜻,3297
蟠,3298
炯,3299
见,3300
竺,3301
聘,3302
錘,3303
瘡,3304
襤,3305
竪,3306
柘,3307
褻,3308
勁,3309
咫,3310
酉,3311
曼,3312
掩,3313
隘,3314
蛉,3315
銛,3316
螂,3317
氣,3318
箍,3319
哪,3320
褸,3321
倅,3322
浚,3323
綯,3324
跟,3325
諮,3326
梃,3327
肚,3328
蜀,3329
濛,3330
譫,3331
谢,3332
让,3333
榜,3334
动,3335
邑,3336
頚,3337
椋,3338
榛,3339
发,3340
矩,3341
塹,3342
欣,3343
脹,3344
敲,3345
堡,3346
襦,3347
蓉,3348
鴎,3349
揆,3350
实,3351
舅,3352
尸,3353
碇,3354
閂,3355
箕,3356
斂,3357
鹼,3358
賎,3359
鞋,3360
椰,3361
黑,3362
吗,3363
爱,3364
袢,3365
號,3366
雹,3367
膵,3368
櫃,3369
禰,3370
脾,3371
蟷,3372
梦,3373
宍,3374
鬣,3375
彬,3376
孟,3377
璽,3378
嵯,3379
髙,3380
嗯,3381
沐,3382
浣,3383
鉾,3384
鬚,3385
畢,3386
娑,3387
邊,3388
巽,3389
鼬,3390
斟,3391
糟,3392
涌,3393
炬,3394
鏖,3395
肇,3396
给,3397
冽,3398
濠,3399
觉,3400
娩,3401
奄,3402
肆,3403
寞,3404
騨,3405
諧,3406
游,3407
总,3408
别,3409
埜,3410
囊,3411
蟄,3412
找,3413
鑼,3414
关,3415
蕉,3416
嬰,3417
髯,3418
玻,3419
鄭,3420
學,3421
貂,3422
恢,3423
徽,3424
彌,3425
嘛,3426
她,3427
馨,3428
咒,3429
杳,3430
楢,3431
撞,3432
鉗,3433
筵,3434
柾,3435
潑,3436
梵,3437
麩,3438
碓,3439
魯,3440
剽,3441
抄,3442
黛,3443
舘,3444
霰,3445
匍,3446
齋,3447
呀,3448
謬,3449
袁,3450
哦,3451
经,3452
婢,3453
俟,3454
儿,3455
緞,3456
甕,3457
啦,3458
娜,3459
痰,3460
磊,3461
檸,3462
箝,3463
諷,3464
鹵,3465
囂,3466
宦,3467
詔,3468
鰭,3469
沓,3470
瓏,3471
尹,3472
糺,3473
匐,3474
檬,3475
凋,3476
誦,3477
應,3478
变,3479
进,3480
莱,3481
蕗,3482
謄,3483
箭,3484
衿,3485
籤,3486
鐵,3487
萱,3488
幟,3489
臙,3490
亦,3491
蟇,3492
槃,3493
藏,3494
恬,3495
喇,3496
聾,3497
鋤,3498
吶,3499
桧,3500
该,3501
蘊,3502
驀,3503
咸,3504
种,3505
丙,3506
边,3507
漉,3508
藝,3509
弑,3510
髷,3511
慚,3512
褥,3513
簞,3514
掉,3515
恕,3516
飜,3517
韜,3518
圃,3519
聚,3520
攀,3521
靠,3522
斤,3523
俱,3524
伙,3525
姥,3526
疚,3527
匣,3528
蕪,3529
銜,3530
糠,3531
鰯,3532
擾,3533
驟,3534
带,3535
獏,3536
縒,3537
桓,3538
从,3539
襷,3540
蝎,3541
汀,3542
皙,3543
摸,3544
晚,3545
强,3546
蘆,3547
鼎,3548
鑷,3549
每,3550
瀞,3551
軛,3552
蕃,3553
筍,3554
哥,3555
长,3556
难,3557
霆,3558
廠,3559
孩,3560
疱,3561
燎,3562
框,3563
宕,3564
鎬,3565
頗,3566
夾,3567
鐙,3568
薮,3569
鈎,3570
俎,3571
畝,3572
蛟,3573
牟,3574
它,3575
愿,3575
聯,3577
歉,3578
倭,3579
燵,3580
气,3581
殷,3582
问,3583
﨑,3584
鑿,3585
袱,3586
两,3587
蛹,3588
欽,3589
伜,3590
亨,3591
饐,3592
埴,3593
拜,3594
鵞,3595
盥,3596
错,3597
腥,3598
慾,3599
畦,3600
论,3601
喂,3602
胚,3603
收,3604
鼾,3605
蝗,3606
刳,3607
效,3608
蚤,3609
恙,3610
雖,3611
应,3612
款,3613
笙,3614
鬩,3615
拱,3616
與,3617
蝸,3618
註,3619
茗,3620
譬,3621
筏,3622
场,3623
匕,3624
穽,3625
头,3626
记,3627
傳,3628
窶,3629
團,3630
嫋,3631
喬,3632
閾,3633
緘,3634
蹙,3635
韮,3636
允,3637
扼,3638
怕,3639
虽,3640
楡,3641
鈿,3642
东,3643
昵,3644
鮒,3645
步,3646
仗,3647
试,3648
謔,3649
结,3650
痘,3651
懦,3652
歎,3653
駝,3654
褌,3655
紧,3656
颶,3657
渠,3658
冲,3659
份,3660
决,3661
办,3662
竣,3663
皓,3664
谁,3665
搏,3666
鯱,3667
庚,3668
隧,3669
榮,3670
终,3671
许,3672
盧,3673
懼,3674
肱,3675
满,3676
跑,3677
蓼,3678
魘,3679
虻,3680
輛,3681
拇,3682
奕,3683
瑪,3684
抛,3685
猩,3686
并,3687
冰,3688
佛,3689
夭,3690
諳,3691
劃,3692
錚,3693
羌,3694
范,3695
釧,3696
珪,3697
哈,3698
狢,3699
樣,3700
諤,3701
郞,3702
犇,3703
伤,3704
俠,3705
刚,3706
戎,3707
駱,3708
瑙,3709
聲,3710
蛤,3711
假,3712
綸,3713
喀,3714
门,3715
疋,3716
圓,3717
远,3718
薯,3719
帮,3720
頤,3721
禾,3722
廿,3723
倆,3724
寻,3725
绝,3726
戊,3727
輜,3728
發,3729
擂,3730
絲,3731
烦,3732
蕭,3733
负,3734
沛,3735
德,3736
诉,3737
芍,3738
睛,3739
护,3740
舒,3741
黍,3742
认,3743
虞,3744
實,3745
弃,3746
莞,3747
蚓,3748
蝮,3749
蚯,3750
怙,3751
嫣,3752
鉦,3753
渺,3754
蔡,3755
搞,3756
對,3757
鮨,3758
鴫,3759
瞋,3760
祢,3761
氈,3762
掏,3763
輻,3764
將,3765
廬,3766
鵬,3767
梧,3768
连,3769
迹,3770
邯,3771
戰,3772
甜,3773
战,3774
员,3775
沉,3776
备,3777
袷,3778
當,3779
确,3780
离,3781
处,3782
晨,3783
薊,3784
鬢,3785
縹,3786
們,3787
枡,3788
风,3789
讒,3790
飞,3791
聰,3792
叭,3793
题,3794
齊,3795
鄲,3796
惠,3797
嗇,3798
旁,3799
恚,3800
笏,3801
愈,3802
够,3803
苫,3804
责,3805
鞴,3806
卡,3807
閏,3808
擡,3809
暉,3810
谺,3811
籃,3812
樂,3813
嗾,3814
顫,3815
樱,3816
欅,3817
釦,3818
鸞,3819
畸,3820
處,3821
传,3822
陋,3823
兴,3824
淆,3825
转,3826
瓊,3827
轻,3828
體,3829
弼,3830
麼,3831
喵,3832
曠,3833
恶,3834
儺,3835
哇,3836
鑢,3837
壜,3838
罗,3839
苅,3840
桝,3841
撚,3842
沒,3843
盒,3844
蹌,3845
匪,3846
釉,3847
蕨,3848
霍,3849
视,3850
艾,3851
禦,3852
倚,3853
籾,3854
旱,3855
經,3856
緬,3857
稍,3858
崔,3859
圖,3860
瑾,3861
亲,3862
伶,3863
烟,3864
踉,3865
塒,3866
闪,3867
惇,3868
艮,3869
咦,3870
运,3871
搗,3872
槐,3873
鱒,3874
袍,3875
阳,3876
篩,3877
顆,3878
址,3879
跫,3880
哎,3881
预,3881
說,3883
疆,3884
艷,3885
踞,3886
點,3887
紮,3888
碩,3889
葭,3890
讓,3891
襄,3892
覺,3893
选,3894
鬘,3895
膾,3896
嶮,3897
马,3898
樵,3899
坡,3900
圀,3901
熨,3902
瑩,3903
复,3904
瑜,3905
陷,3906
颜,3906
鎗,3908
鼈,3909
掣,3910
繞,3911
慙,3912
鴛,3913
踝,3914
賁,3915
衍,3916
厉,3917
甫,3918
热,3919
崑,3920
乍,3921
變,3922
坚,3923
菟,3924
馥,3925
婁,3926
嗎,3927
亢,3928
乐,3929
狄,3930
逍,3931
崗,3932
鍍,3933
瑤,3934
坏,3935
嬴,3936
紊,3937
鉋,3938
樟,3939
邀,3940
鮪,3941
续,3942
龐,3943
雙,3944
戈,3945
擅,3946
偃,3947
稗,3948
赭,3949
歇,3950
鷗,3951
壽,3952
蹈,3953
笊,3954
线,3955
鴇,3956
胛,3957
聽,3958
翦,3959
煖,3960
塑,3961
侃,3962
类,3963
廂,3964
爸,3965
麝,3966
拥,3967
寇,3968
凉,3969
诶,3970
联,3971
璋,3972
戏,3973
媽,3974
癲,3975
罫,3976
瀝,3977
燿,3978
譴,3979
鮑,3980
臑,3981
忝,3982
查,3983
计,3984
亚,3985
蒜,3986
狒,3987
懂,3988
须,3989
达,3990
擱,3991
艫,3992
菰,3993
沮,3994
絣,3995
屛,3996
赶,3997
鏤,3998
靈,3999
僑,4000
關,4001
闍,4002
厌,4003
疏,4004
潭,4005
碎,4006
熄,4007
杷,4008
奶,4009
继,4010
寬,4011
买,4012
电,4013
濶,4014
綬,4015
呶,4016
况,4017
裃,4018
糕,4019
渥,4020
繻,4021
脸,4022
獺,4023
從,4024
鐸,4025
杢,4026
雍,4027
约,4028
值,4029
驢,4030
礒,4031
潘,4032
珂,4033
溯,4034
橈,4035
臈,4036
菲,4037
讨,4038
欝,4039
匁,4040
躑,4041
卷,4042
鯰,4043
疽,4044
篁,4045
张,4046
靜,4047
孺,4048
霄,4049
报,4050
賈,4051
襴,4052
鶫,4053
蛯,4054
脩,4055
箏,4056
纪,4057
庖,4058
搜,4059
辷,4060
怀,4061
總,4062
佞,4063
裝,4063
縣,4065
蜷,4066
禮,4067
頌,4068
笨,4069
毕,4070
兩,4071
揖,4072
劔,4073
懿,4074
晏,4075
悖,4076
刪,4076
秣,4078
枇,4079
慥,4080
趁,4081
諄,4082
捥,4083
砌,4084
悋,4085
瘧,4086
术,4087
义,4088
蓙,4089
闭,4090
彡,4091
园,4092
遗,4093
帶,4094
蕁,4095
躅,4096
諂,4097
录,4098
单,4099
队,4100
鎹,4101
澁,4102
蚩,4103
翰,4104
崙,4105
鯵,4106
偷,4107
隨,4108
誾,4109
艤,4110
屡,4111
忿,4112
佻,4113
髣,4114
浬,4115
茲,4116
酋,4117
证,4118
兌,4119
乘,4120
夙,4121
尔,4122
顏,4123
髴,4124
轉,4125
换,4126
譯,4127
盈,4128
弋,4129
棠,4130
羯,4131
细,4132
哂,4133
獨,4134
笈,4135
偸,4136
糜,4137
炮,4138
豫,4139
烽,4140
奋,4141
胜,4142
愍,4143
粂,4144
脑,4145
盡,4146
险,4147
鵯,4148
圣,4149
箴,4150
蓝,4151
樊,4152
龕,4153
仆,4154
萠,4155
调,4156
楷,4156
寨,4158
覯,4159
瑶,4160
猴,4161
煥,4162
击,4163
佗,4164
驪,4165
祁,4166
嶼,4167
椚,4168
攸,4169
顺,4170
节,4171
內,4172
錮,4173
淮,4174
鈷,4175
魃,4176
蒻,4177
埓,4178
红,4179
寐,4180
瘣,4180
鏝,4182
馮,4183
蛞,4184
慳,4185
鑠,4186
椛,4187
續,4188
懶,4189
闕,4190
哼,4191
呐,4192
輯,4193
疸,4194
萊,4195
鴦,4196
耆,4197
蝓,4198
厲,4199
貘,4200
嚆,4201
级,4202
諱,4203
狎,4204
妤,4205
灵,4206
增,4207
逓,4208
嚮,4209
丽,4210
羈,4211
尭,4212
堯,4213
鰓,4214
宸,4215
团,4216
歡,4217
杀,4218
娥,4219
竃,4220
师,4221
鄧,4222
启,4223
醫,4224
弗,4225
茣,4226
絽,4227
聟,4228
枉,4229
摇,4230
馆,4231
另,4232
议,4232
饭,4234
忆,4235
筮,4236
哟,4237
橇,4238
妈,4239
纒,4240
极,4241
杠,4242
筥,4243
矍,4244
务,4245
趾,4246
渊,4247
鰊,4248
諚,4249
华,4250
冀,4251
荀,4252
书,4253
羆,4254
歿,4255
颪,4256
腟,4257
蒟,4258
围,4259
繙,4260
薨,4261
车,4262
霽,4263
壹,4264
劲,4265
罐,4266
馭,4267
釵,4268
鸟,4269
唤,4270
扭,4271
慊,4272
舫,4273
惡,4274
畷,4275
寶,4276
莚,4277
輕,4278
婪,4279
识,4280
圈,4281
牆,4282
举,4283
繹,4284
侈,4285
酱,4286
剴,4287
馘,4288
蓆,4289
择,4290
擊,4291
蜿,4292
溂,4293
漑,4294
數,4295
简,4296
盞,4297
邉,4298
昊,4299
织,4300
仿,4301
兀,4302
监,4303
兒,4304
舍,4305
鶉,4306
籬,4307
夠,4307
驍,4309
跛,4310
辦,4310
莎,4312
跌,4313
碰,4314
銑,4315
观,4316
俥,4317
鰍,4318
滿,4319
悛,4320
繃,4321
禎,4322
壓,4323
臘,4324
鉞,4325
爷,4326
惊,4327
喙,4328
骗,4329
輦,4330
霖,4331
獠,4332
抖,4333
擒,4334
蝟,4335
瑰,4336
吵,4337
矣,4338
誡,4339
髻,4340
敌,4341
剩,4342
默,4343
岁,4343
慷,4345
鰌,4346
穆,4347
垓,4348
靏,4349
涵,4350
琪,4351
狷,4352
洵,4353
簑,4354
倾,4355
丿,4356
词,4357
谿,4358
楳,4359
杣,4360
楸,4361
甍,4362
坎,4363
糀,4364
怺,4365
旌,4366
宁,4366
塙,4368
蜒,4369
痾,4370
悽,4371
劍,4372
誨,4373
隋,4374
挂,4375
临,4376
众,4377
衙,4378
嘿,4379
拼,4380
妍,4381
划,4382
苓,4383
畫,4384
鳰,4385
跃,4386
仍,4387
豈,4388
跣,4389
蟀,4390
讀,4391
媼,4392
丝,4393
泛,4394
艸,4395
證,4396
薀,4397
蹉,4398
赧,4399
惶,4400
蔚,4400
遑,4402
賣,4403
陞,4404
挾,4405
盘,4406
枳,4407
鴒,4408
产,4409
砒,4410
饌,4411
薗,4412
辉,4413
啾,4414
谅,4415
响,4415
嗽,4417
樅,4418
繩,4419
卻,4420
汪,4421
楪,4422
苞,4423
裙,4424
夺,4425
闹,4426
跏,4427
姚,4428
态,4429
抒,4430
渣,4431
禪,4432
鶺,4433
扰,4434
﨟,4435
奘,4436
皎,4437
莽,4438
优,4439
设,4440
巍,4441
參,4442
异,4443
匈,4444
彪,4445
败,4446
楫,4447
诞,4448
藺,4449
籔,4450
疳,4451
噬,4452
彭,4453
賺,4454
燧,4455
佰,4456
顾,4457
稠,4458
幔,4459
絳,4460
旛,4461
蕊,4462
宫,4463
棕,4464
婀,4465
朵,4466
蒡,4467
梔,4468
创,4469
蹊,4470
帚,4471
畅,4472
祗,4473
舁,4474
薈,4475
橡,4476
轆,4477
顶,4478
鞣,4479
尝,4480
翫,4481
恤,4482
栂,4483
喃,4484
苟,4485
唉,4486
鱸,4487
翹,4488
价,4489
絕,4490
鑓,4491
倪,4492
醗,4493
旒,4494
勺,4495
嚴,4495
隐,4497
芬,4498
彎,4499
單,4500
覘,4501
屬,4502
據,4503
缺,4504
絮,4505
亂,4506
岱,4507
艀,4508
麴,4509
戀,4510
誣,4511
鵲,4512
谓,4513
卖,4514
斷,4515
閊,4516
抢,4517
银,4518
邵,4519
弹,4520
蜆,4521
竭,4522
熙,4523
廼,4524
惻,4525
迟,4526
轮,4527
琅,4528
臾,4529
墻,4530
环,4531
蜉,4532
弖,4533
妲,4534
繼,4535
眄,4536
恟,4537
疣,4538
补,4539
觀,4540
俘,4541
歸,4542
諛,4543
纓,4544
豐,4545
镜,4546
渐,4547
皴,4548
钱,4549
哩,4550
拂,4551
裹,4552
噢,4553
闻,4554
榔,4555
麭,4556
偕,4557
浙,4558
謖,4559
亏,4560
归,4560
欹,4562
叮,4563
耍,4564
晄,4565
岨,4566
骰,4567
叟,4568
禹,4569
噩,4570
窗,4571
辈,4572
貉,4573
剧,4574
蟒,4575
豁,4576
癸,4577
苹,4578
剄,4579
殘,4580
轤,4581
俩,4582
赛,4583
笔,4584
悌,4585
鰺,4586
树,4587
网,4588
幫,4589
鈞,4590
戛,4591
趺,4592
餘,4593
迪,4594
啣,4595
袿,4596
适,4597
巒,4598
錣,4599
區,4600
匆,4600
鸡,4602
鬧,4603
蝣,4604
鬥,4605
鬆,4606
腓,4606
费,4606
醉,4609
喔,4610
鸣,4611
亙,4612
则,4613
输,4614
啀,4615
鏢,4616
篆,4617
嫂,4618
癬,4619
跼,4620
嬶,4621
敞,4622
练,4623
拔,4624
释,4625
荏,4626
礙,4626
质,4628
檢,4629
稷,4630
烧,4630
隗,4632
傻,4633
俤,4634
雕,4635
陆,4636
戔,4637
縢,4638
掾,4639
较,4640
琦,4641
讲,4642
专,4643
襯,4644
盂,4645
蜚,4646
厖,4647
飩,4648
謨,4649
縅,4650
爻,4651
鵰,4652
鞆,4653
劳,4654
檣,4655
龙,4656
吓,4657
棉,4658
飘,4659
缪,4660
醂,4661
砧,4662
蹠,4663
炫,4664
鱧,4665
饂,4666
蒋,4667
煕,4668
导,4669
袭,4669
剱,4671
邃,4672
颱,4673
嚀,4674
樓,4675
湍,4676
盯,4676
躪,4678
茘,4679
櫚,4680
梠,4681
鰤,4682
鑚,4683
曉,4684
莨,4685
协,4686
虑,4686
帅,4688
桥,4689
蘿,4690
瑯,4691
蟋,4692
喽,4693
繪,4694
筺,4695
荣,4696
蔀,4697
錄,4698
获,4699
礬,4700
谈,4701
图,4701
稱,4703
颗,4704
皹,4705
绪,4706
泠,4707
势,4708
猖,4709
爭,4710
耿,4711
鰆,4712
倨,4713
徂,4714
傢,4715
积,4716
碼,4717
圆,4718
彈,4719
霏,4720
缝,4721
恼,4722
澗,4722
笞,4724
黝,4725
标,4726
狀,4727
谎,4727
躲,4729
误,4730
严,4730
酣,4732
浑,4733
懈,4734
轅,4735
燠,4736
购,4737
寫,4738
焜,4739
喞,4740
领,4741
臺,4742
圍,4743
簇,4744
梏,4745
衹,4746
尠,4747
权,4748
蹶,4749
惺,4750
珉,4751
桎,4752
鄴,4753
晓,4754
姬,4755
迈,4756
睿,4757
駭,4758
统,4758
雜,4760
釋,4761
滄,4762
显,4763
塘,4764
慫,4765
滉,4766
箆,4767
痼,4768
樗,4769
军,4770
橿,4771
咋,4772
楨,4773
贵,4773
挥,4775
罢,4776
奠,4777
卫,4778
职,4779
侏,4780
嗔,4781
邇,4782
兔,4783
彧,4784
鵙,4785
昱,4786
屎,4787
閒,4788
灭,4789
蟜,4790
潅,4791
阮,4792
霸,4793
紂,4794
枸,4795
渭,4796
燒,4797
鱼,4798
險,4799
嘻,4800
壞,4801
藥,4801
爲,4803
趕,4804
闲,4805
读,4806
邱,4807
丢,4808
檗,4809
餮,4810
萼,4811
怏,4812
櫟,4812
鞏,4814
歔,4815
擔,4816
蓮,4817
靨,4818
粮,4819
廆,4820
嶌,4821
喼,4822
貳,4823
鶸,4824
獗,4825
闌,4826
擞,4827
绵,4828
穎,4829
慂,4830
囈,4831
鐚,4832
湮,4833
瀛,4834
贝,4835
咖,4836
霙,4837
燁,4838
钟,4839
噗,4840
筅,4841
呜,4842
嘞,4843
籟,4844
樒,4845
徠,4846
臉,4847
苧,4848
斛,4849
扫,4850
弉,4851
躬,4852
閘,4853
户,4854
蘂,4855
兰,4856
艺,4856
簗,4858
悚,4859
饕,4860
銷,4861
晁,4862
啥,4863
迚,4864
覡,4865
孰,4866
漓,4867
毋,4868
涕,4869
姆,4870
僵,4871
槓,4872
腮,4873
牀,4874
剔,4875
咩,4876
郝,4877
甄,4878
輾,4879
嫦,4880
崭,4881
惘,4882
濵,4883
窈,4884
欷,4885
纯,4886
噸,4887
蜩,4888
驁,4889
杂,4890
忐,4891
忑,4891
凩,4891
衢,4894
觸,4895
馗,4896
猗,4897
狆,4898
羂,4899
彅,4900
矗,4901
叠,4902
仓,4903
佯,4904
懷,4905
吒,4906
瘠,4907
樾,4908
笄,4909
