Kanji,Rank
順,745
隣,746
夕,747
玉,748
宮,749
象,750
描,751
従,752
荒,753
景,754
慮,755
純,756
適,757
型,758
悩,759
陽,760
妹,761
総,762
操,763
珍,764
換,765
羽,766
曲,767
製,768
徒,769
犬,770
研,771
辞,772
率,773
科,774
雨,775
載,776
布,777
授,778
扱,779
絵,780
枚,781
抗,782
森,783
編,784
鬼,785
潰,786
偉,787
区,788
暇,789
短,790
承,791
射,792
伸,793
究,794
鳥,795
丁,796
永,797
盗,798
積,799
遣,800
管,801
船,802
補,803
沢,804
荷,805
健,806
迫,807
晩,808
医,809
己,810
骨,811
庭,812
誤,813
建,814
屈,815
壁,816
境,817
至,818
監,819
展,820
縁,821
館,822
繰,823
鉄,824
預,825
殿,826
遺,827
嬢,828
華,829
照,830
衛,831
為,832
燃,833
寂,834
崩,835
幼,836
毒,837
快,838
南,839
課,840
仮,841
便,842
英,843
営,844
尾,845
揺,846
谷,847
歴,848
栄,849
嘘,850
句,851
肩,852
算,853
毛,854
到,855
懐,856
各,857
穴,858
嬉,859
脳,860
坊,861
宝,862
銀,863
織,864
策,865
致,866
評,867
草,868
闇,869
系,870
油,871
佐,872
否,873
損,874
輝,875
専,876
耐,877
焦,878
裕,879
染,880
柄,881
史,882
涙,883
距,884
棒,885
薄,886
欠,887
携,888
鼻,889
魚,890
包,891
幕,892
挑,893
清,894
締,895
節,896
老,897
複,898
推,899
腰,900
属,901
宅,902
吉,903
氏,904
遭,905
輪,906
虫,907
訪,908
衣,909
霊,910
随,911
吐,912
刑,913
威,914
殴,915
執,916
寒,917
妻,918
企,919
及,920
儀,921
政,922
敷,923
獄,924
祝,925
福,926
規,927
橋,928
恵,929
猫,930
那,931
七,932
旦,933
費,934
巨,935
祭,936
雪,937
稼,938
褒,939
倍,940
婦,941
呂,942
麗,943
秀,944
依,945
眼,946
偶,947
里,948
領,949
封,950
泊,951
芸,952
刀,953
伏,954
養,955
標,956
敬,957
庫,958
障,959
給,960
源,961
辛,962
拾,963
模,964
聖,965
魂,966
潜,967
討,968
恨,969
宙,970
微,971
陰,972
聴,973
秒,974
脅,975
震,976
含,977
統,978
板,979
酔,980
璧,981
臓,982
蔵,983
侵,984
趣,985
偽,986
埋,987
姫,988
曜,989
挙,990
努,991
躍,992
略,993
掃,994
狂,995
矢,996
巡,997
挨,998
叫,999
拶,1000
宇,1001
噂,1002
箱,1003
愚,1004
臭,1005
衝,1006
忍,1007
歯,1008
誇,1009
裂,1010
歓,1011
六,1012
測,1013
窓,1014
覧,1015
炎,1016
謎,1017
乾,1018
午,1019
財,1020
既,1021
善,1022
